username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,news_id,user_id,rating,rating2,recommended,position,mystery,y_for,y_fact
kciiso,0,2023-11-24 16:57:03,2023-12-04 12:57:50,255,0,32,vrouw,5,2,2.0,-1.0,16.0,65.0,,69.0,-1.0,1.0,-2.0,,1,-2,2,126,406966,126,2.0,3.0,0,5,0.0,0.6,1.0
ggmszw,1,2023-11-27 15:28:11,2023-12-08 18:18:20,255,0,74,man,4,3,1.0,1.0,26.0,47.0,,50.0,-3.0,0.0,1.0,,3,3,1,272,406966,272,2.0,2.0,0,4,1.0,0.6,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406658,89,4.0,3.0,0,3,0.0,1.0,0.8888888888888888
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,406891,89,4.0,4.0,0,1,0.0,1.0,1.0
efocwy,1,2023-11-24 16:34:19,2023-12-01 14:26:08,255,0,25,man,4,3,3.0,2.0,16.0,54.0,,55.0,0.0,1.0,2.0,0.0,3,2,0,95,406891,95,5.0,5.0,0,4,1.0,1.0,1.0
ocurac,1,2023-11-24 17:30:01,2023-12-02 07:00:39,255,0,37,vrouw,5,3,0.0,2.0,20.0,50.0,,49.0,-3.0,1.0,2.0,1.0,2,3,0,145,406891,145,5.0,4.0,1,2,0.0,1.0,1.0
njewvm,1,2023-11-25 07:28:47,2023-12-04 13:14:21,255,0,62,man,2,2,0.0,2.0,8.0,77.0,,72.0,1.0,0.0,-1.0,,2,2,0,256,406891,256,4.0,3.0,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407121,89,0.5,0.5,0,7,0.0,0.0,0.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407383,89,0.5,1.0,0,3,0.0,0.238095238095238,0.75
kciiso,0,2023-11-24 16:57:03,2023-12-04 12:57:50,255,0,32,vrouw,5,2,2.0,-1.0,16.0,65.0,,69.0,-1.0,1.0,-2.0,,1,-2,2,126,407383,126,0.5,1.5,0,2,0.0,0.238095238095238,0.75
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407171,89,4.0,4.0,0,1,0.0,1.0,1.0
blyjaa,0,2023-11-27 16:20:23,2023-12-07 11:37:23,255,0,60,vrouw,5,2,1.0,1.0,12.0,58.0,,62.0,2.0,1.0,0.0,,2,2,0,298,407171,298,4.0,4.0,0,0,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407566,89,3.0,3.0,0,5,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407490,89,1.5,1.5,0,7,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407654,89,1.0,1.0,0,5,0.0,1.0,1.0
jgglnh,1,2023-11-27 15:32:22,2023-12-03 08:08:03,255,0,61,man,2,2,3.0,2.0,14.0,57.0,,57.0,-1.0,1.0,-1.0,,3,3,3,277,407654,277,1.5,1.5,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407039,89,0.5,0.5,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407188,89,3.0,2.0,0,2,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407208,89,1.0,1.0,0,0,0.0,0.8571428571428571,1.0
