news_id,y_for,y_fact
45291,0.59375,0.4642857142857143
45292,1.0,0.4
45293,0.06818181818181818,0.4318181818181818
45294,0.5555555555555556,0.5652173913043478
45295,0.40476190476190477,0.675
45296,0.5714285714285714,0.5882352941176471
45297,0.20689655172413793,0.7142857142857143
45298,0.47058823529411764,0.9333333333333333
45299,1.0,0.8571428571428571
45300,0.575,0.868421052631579
45301,0.25,0.65625
45302,0.625,0.49056603773584906
45303,0.3333333333333333,0.4166666666666667
45304,0.2830188679245283,0.7111111111111111
45305,0.8571428571428571,0.9230769230769231
45306,1.0,1.0
45307,1.0,1.0
45308,0.8666666666666667,0.9666666666666667
45309,1.0,1.0
45310,1.0,1.0
45311,1.0,1.0
45312,0.5,0.6666666666666666
45313,0.6666666666666666,1.0
45314,0.3,1.0
45315,1.0,0.75
45316,1.0,1.0
45317,1.0,0.8
45318,1.0,1.0
45319,1.0,1.0
45320,0.8181818181818182,1.0
45321,1.0,1.0
45322,1.0,1.0
45323,1.0,0.8
45324,1.0,1.0
45325,1.0,0.8571428571428571
45326,0.9791666666666666,0.9583333333333334
45327,1.0,1.0
45328,0.3333333333333333,1.0
45329,0.7096774193548387,0.9166666666666666
45330,1.0,0.9230769230769231
45331,1.0,1.0
45332,1.0,1.0
45333,0.8333333333333334,1.0
45334,1.0,1.0
45335,0.46153846153846156,0.8636363636363636
45336,0.0,0.6666666666666666
45337,0.8,1.0
45338,0.3333333333333333,1.0
45339,1.0,1.0
45340,1.0,1.0
45341,0.6,1.0
45342,0.5,0.5
45343,0.8,0.8
45344,0.9,0.9
45345,1.0,1.0
45346,1.0,1.0
45347,0.5,1.0
45348,0.6666666666666666,0.8333333333333334
45349,0.6666666666666666,0.6666666666666666
45350,0.3333333333333333,1.0
45351,1.0,1.0
45352,1.0,0.9666666666666667
45353,0.4,0.6
45354,0.8333333333333334,1.0
45355,1.0,1.0
45356,0.8888888888888888,1.0
45357,1.0,1.0
45358,1.0,1.0
45359,0.5714285714285714,0.7142857142857143
45360,1.0,1.0
45361,0.4666666666666667,0.5333333333333333
45362,0.9583333333333334,0.9130434782608695
45363,1.0,1.0
45364,1.0,1.0
45365,1.0,1.0
45366,1.0,1.0
45367,0.3333333333333333,1.0
45368,1.0,1.0
45369,1.0,1.0
45370,1.0,1.0
45371,1.0,1.0
45372,0.9565217391304348,0.9565217391304348
45373,1.0,1.0
45374,1.0,1.0
45375,0.9,0.6
45376,0.9090909090909091,1.0
45377,0.9565217391304348,0.9130434782608695
45378,0.375,0.625
45379,1.0,0.9090909090909091
45380,1.0,1.0
45381,0.9393939393939394,0.8833333333333333
45382,0.3333333333333333,1.0
45383,1.0,1.0
45384,1.0,1.0
45385,0.9069767441860465,1.0
45386,0.5416666666666666,0.6842105263157895
45387,0.9473684210526315,0.8888888888888888
45388,0.3333333333333333,0.625
45389,0.8571428571428571,0.5714285714285714
45390,0.3333333333333333,1.0
45391,1.0,1.0
45392,0.6,1.0
