id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
109,zivdcf,1,2023-11-24 16:39:46,2023-11-28 16:23:26,1,0,65,man,5,3,,,4.0,12.0,,13.0,,,,,2,2,2,2
110,rsqbik,0,2023-11-24 16:40:35,2023-12-01 12:26:10,255,0,64,man,2,2,-1.0,-2.0,22.0,51.0,,51.0,1.0,1.0,-1.0,,2,1,0,9
112,odbwei,1,2023-11-24 16:43:41,2023-12-23 15:49:19,255,0,78,vrouw,4,2,-1.0,-2.0,18.0,52.0,,55.0,0.0,0.0,-2.0,,2,2,2,10
113,zbgebv,1,2023-11-24 16:43:52,2023-11-24 16:55:00,1,0,71,man,4,3,,,2.0,27.0,,27.0,,,,,3,2,3,2
114,yhpdvt,0,2023-11-24 16:45:00,2023-11-25 09:58:23,1,0,42,vrouw,4,3,,,4.0,5.0,,6.0,,,,,3,2,2,2
118,yjaays,0,2023-11-24 16:49:21,2023-11-27 12:09:15,1,0,63,vrouw,2,3,,,4.0,30.0,,20.0,,,,,3,0,1,2
119,rfcura,0,2023-11-24 16:50:08,2023-12-01 20:04:42,255,0,42,man,4,2,0.0,-1.0,16.0,64.0,,32.0,-3.0,1.0,-3.0,11.0,1,1,1,3
120,dppgkf,1,2023-11-24 16:50:18,2023-12-03 21:45:57,255,0,31,man,4,-1,-1.0,0.0,14.0,62.0,,47.0,-1.0,1.0,1.0,0.0,-1,0,1,5
121,vndcce,1,2023-11-24 16:50:44,2023-12-01 05:24:07,255,0,38,vrouw,4,3,-2.0,1.0,16.0,75.0,,76.0,-1.0,0.0,-1.0,,2,2,2,7
122,ofmvpo,0,2023-11-24 16:51:20,2023-11-24 16:51:20,1,0,49,man,3,3,,,2.0,14.0,,15.0,,,,0.0,3,3,1,1
124,twburb,1,2023-11-24 16:55:55,2023-12-06 07:40:37,255,0,40,man,4,2,-1.0,2.0,16.0,61.0,,46.0,1.0,1.0,2.0,21.0,2,2,1,5
125,fwuhah,1,2023-11-24 16:56:09,2023-12-01 15:19:14,255,0,32,vrouw,4,3,0.0,1.0,18.0,58.0,,59.0,-3.0,0.0,2.0,,3,2,2,8
126,kciiso,0,2023-11-24 16:57:03,2023-12-04 12:57:50,255,0,32,vrouw,5,2,2.0,-1.0,16.0,65.0,,69.0,-1.0,1.0,-2.0,,1,-2,2,10
127,rqggnv,0,2023-11-24 16:57:05,2023-11-27 02:45:31,1,0,64,man,0,1,,,4.0,3.0,,3.0,,,,,1,1,-1,2
129,zeanmx,1,2023-11-24 16:57:45,2023-11-25 15:34:27,1,0,40,vrouw,5,2,,,4.0,10.0,,10.0,,,,,1,1,-3,2
130,eapxta,0,2023-11-24 16:59:41,2023-12-06 12:02:07,1,0,74,man,5,3,,,4.0,5.0,,11.0,,,,2.0,3,3,-3,6
131,xmtftg,0,2023-11-24 17:00:10,2023-12-04 08:42:32,255,0,54,vrouw,2,3,2.0,1.0,18.0,68.0,,71.0,2.0,1.0,3.0,1.0,2,1,0,10
132,ybipxv,1,2023-11-24 17:00:30,2023-11-25 07:33:44,1,0,53,vrouw,3,2,,,4.0,9.0,,9.0,,,,,2,2,2,1
136,cauvvr,1,2023-11-24 17:12:49,2023-12-02 19:03:51,255,0,24,vrouw,4,2,2.0,2.0,14.0,60.0,,50.0,2.0,0.0,0.0,33.0,1,1,1,7
137,xoaiso,1,2023-11-24 17:17:43,2023-11-24 17:20:50,1,0,52,man,1,3,,,2.0,15.0,,15.0,,,,,2,2,1,1
138,rrismh,0,2023-11-24 17:18:09,2023-11-24 17:28:06,1,0,73,man,4,3,,,2.0,4.0,,4.0,,,,,3,3,3,1
140,grrhlh,1,2023-11-24 17:20:49,2023-11-24 18:24:59,1,0,64,man,3,2,,,2.0,39.0,,15.0,,,,,0,0,-1,1
144,cildko,1,2023-11-24 17:25:30,2023-11-24 17:25:30,1,0,76,man,3,3,,,2.0,1.0,,1.0,,,,,3,2,1,1
145,ocurac,1,2023-11-24 17:30:01,2023-12-02 07:00:39,255,0,37,vrouw,5,3,0.0,2.0,20.0,50.0,,49.0,-3.0,1.0,2.0,1.0,2,3,0,7
147,lihmqp,0,2023-11-24 17:30:50,2023-12-03 10:16:29,255,0,53,vrouw,3,1,2.0,1.0,14.0,115.0,,100.0,-3.0,0.0,1.0,1.0,0,-1,0,8
151,gllznp,0,2023-11-24 17:43:15,2023-11-24 17:43:15,1,0,64,man,2,3,,,2.0,5.0,,6.0,,,,,3,1,1,1
152,lmzovm,1,2023-11-24 17:44:10,2023-12-06 05:06:25,1,0,53,vrouw,3,2,,,12.0,16.0,,17.0,,,,,2,1,0,11
153,wwsxnv,1,2023-11-24 17:44:54,2023-11-25 18:09:44,1,0,44,man,5,1,,,2.0,6.0,,6.0,,,,,1,1,1,2
154,pnvogs,0,2023-11-24 17:45:56,2023-12-02 08:42:36,255,0,54,vrouw,2,2,2.0,2.0,14.0,60.0,,61.0,3.0,0.0,2.0,,-3,0,0,7
155,rfdbxf,0,2023-11-24 17:47:12,2023-11-25 07:12:34,1,0,41,man,4,3,,,4.0,3.0,,3.0,,,,,1,2,1,2
156,mseqqh,1,2023-11-24 17:48:55,2023-11-24 22:49:09,255,0,43,vrouw,4,1,-1.0,0.0,4.0,66.0,,48.0,-2.0,1.0,-3.0,0.0,1,0,0,8
157,pduomr,1,2023-11-24 17:50:23,2023-11-25 08:40:37,1,0,50,vrouw,3,3,,,4.0,66.0,,30.0,,,,,2,2,1,2
158,widrxo,0,2023-11-24 17:51:10,2023-12-03 17:32:34,255,0,66,vrouw,4,3,1.0,1.0,26.0,77.0,,74.0,-3.0,0.0,2.0,,2,3,0,7
159,zhllwy,0,2023-11-24 17:53:51,2023-12-02 06:05:17,255,0,39,vrouw,3,2,3.0,2.0,14.0,136.0,,128.0,0.0,0.0,1.0,1.0,2,2,2,9
160,ffmtgy,1,2023-11-24 17:54:02,2023-12-04 06:48:29,1,0,39,man,1,1,,,10.0,21.0,,24.0,,,,1.0,1,2,1,8
161,ainsxk,1,2023-11-24 17:54:42,2023-11-30 08:55:21,255,0,43,vrouw,5,1,-3.0,-2.0,24.0,46.0,,48.0,0.0,1.0,-3.0,,1,1,0,7
162,hfgnyd,0,2023-11-24 17:55:50,2023-12-02 11:45:18,255,0,35,man,4,2,2.0,-1.0,14.0,71.0,,46.0,-1.0,1.0,-1.0,,1,1,1,5
163,tlyljn,0,2023-11-24 17:57:28,2023-11-26 09:38:20,1,0,61,vrouw,4,3,,,4.0,13.0,,14.0,,,,0.0,2,2,0,2
168,sikdmx,1,2023-11-24 18:05:20,2023-11-27 12:41:07,1,0,61,man,3,3,,,6.0,11.0,,14.0,,,,0.0,3,3,3,3
169,eejinp,1,2023-11-24 18:10:42,2023-12-04 07:55:09,255,0,69,vrouw,1,2,2.0,2.0,10.0,60.0,,52.0,0.0,0.0,1.0,,2,2,0,6
170,kfwsyo,0,2023-11-24 18:11:55,2024-01-09 11:44:11,1,0,58,vrouw,4,3,,,4.0,1.0,,2.0,,,,,2,2,3,1
171,bmicmf,0,2023-11-24 18:19:30,2023-12-05 08:05:51,1,0,41,man,4,3,,,20.0,77.0,,70.0,,,,,2,2,-2,7
172,oficjp,1,2023-11-24 18:21:16,2023-12-04 10:48:04,255,0,61,man,4,2,-1.0,1.0,20.0,50.0,,50.0,1.0,0.0,0.0,,1,1,3,8
173,xrqfdd,1,2023-11-24 18:22:50,2023-11-24 18:25:16,1,0,62,man,1,3,,,2.0,8.0,,7.0,,,,,2,2,0,1
174,dhdtik,0,2023-11-24 18:23:57,2023-12-08 07:40:36,1,0,66,vrouw,4,3,,,12.0,94.0,,96.0,,,,0.0,3,2,2,9
175,cftfsx,0,2023-11-24 18:29:11,2023-11-29 21:16:51,255,0,60,vrouw,3,3,3.0,1.0,6.0,79.0,,63.0,0.0,0.0,3.0,,3,3,2,12
