username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,user_id,0.0,1.0,ratio,y_for,y_fact
zhllwy,0,2023-11-24 17:53:51,2023-12-02 06:05:17,255,0,39,vrouw,3,2,3.0,2.0,14.0,136.0,,128.0,0.0,0.0,1.0,1.0,2,2,2,159,159,119.0,20.0,0.1438848920863309,0.2904690136177539,0.1578685861048723
ffmtgy,1,2023-11-24 17:54:02,2023-12-04 06:48:29,1,0,39,man,1,1,,,10.0,21.0,,24.0,,,,1.0,1,2,1,160,160,23.0,1.0,0.0416666666666666,0.1824483229697584,0.1270348877804579
ainsxk,1,2023-11-24 17:54:42,2023-11-30 08:55:21,255,0,43,vrouw,5,1,-3.0,-2.0,24.0,46.0,,48.0,0.0,1.0,-3.0,,1,1,0,161,161,36.0,7.0,0.1627906976744186,0.1603044196754239,0.1310494766695986
eejinp,1,2023-11-24 18:10:42,2023-12-04 07:55:09,255,0,69,vrouw,1,2,2.0,2.0,10.0,60.0,,52.0,0.0,0.0,1.0,,2,2,0,169,169,37.0,15.0,0.2884615384615384,0.192539934031633,0.2073260640873279
bmicmf,0,2023-11-24 18:19:30,2023-12-05 08:05:51,1,0,41,man,4,3,,,20.0,77.0,,70.0,,,,,2,2,-2,171,171,73.0,6.0,0.0759493670886076,0.2822088632629336,0.1923542084644329
oficjp,1,2023-11-24 18:21:16,2023-12-04 10:48:04,255,0,61,man,4,2,-1.0,1.0,20.0,50.0,,50.0,1.0,0.0,0.0,,1,1,3,172,172,39.0,11.0,0.22,0.2367785192238568,0.1548633013870643
dhdtik,0,2023-11-24 18:23:57,2023-12-08 07:40:36,1,0,66,vrouw,4,3,,,12.0,94.0,,96.0,,,,0.0,3,2,2,174,174,74.0,22.0,0.2291666666666666,0.2422161431782492,0.1347061123703256
cftfsx,0,2023-11-24 18:29:11,2023-11-29 21:16:51,255,0,60,vrouw,3,3,3.0,1.0,6.0,79.0,,63.0,0.0,0.0,3.0,,3,3,2,175,175,75.0,7.0,0.0853658536585365,0.3375377918246726,0.2000289109278704
lxbrfa,1,2023-11-24 18:37:19,2023-12-19 08:27:41,1,0,59,niet-binair/anders,1,3,,,16.0,26.0,,26.0,,,,,3,3,-3,177,177,22.0,4.0,0.1538461538461538,0.2797411524093013,0.1826800547214673
mklbyo,0,2023-11-24 18:38:37,2023-12-05 14:24:02,255,0,58,man,2,3,3.0,2.0,18.0,69.0,,70.0,0.0,1.0,3.0,,3,3,0,178,178,65.0,5.0,0.0714285714285714,0.1680250339882047,0.1100300057078525
zfdarg,0,2023-11-24 18:49:45,2023-12-06 20:17:12,255,0,29,man,4,3,3.0,1.0,14.0,65.0,,55.0,-2.0,0.0,-1.0,0.0,3,3,3,179,179,64.0,2.0,0.0303030303030303,0.2820572286563941,0.1720959143018721
yittom,0,2023-11-24 19:05:34,2023-12-04 23:13:41,255,0,38,wil ik niet zeggen,5,2,3.0,2.0,16.0,98.0,,94.0,1.0,1.0,0.0,0.0,2,1,0,183,183,97.0,2.0,0.0202020202020202,0.2662663966635389,0.166246812587047
sutnhw,0,2023-11-24 19:16:09,2023-12-04 11:59:12,255,0,24,man,4,3,3.0,1.0,18.0,64.0,,62.0,-2.0,1.0,2.0,0.0,3,3,-1,186,186,57.0,7.0,0.109375,0.201944729779082,0.121697217170358
iyrpyx,0,2023-11-24 19:18:14,2023-12-09 08:09:31,255,0,48,man,4,3,3.0,3.0,10.0,69.0,,72.0,1.0,1.0,1.0,0.0,2,2,0,190,190,64.0,7.0,0.0985915492957746,0.2391630435676978,0.0899950598713385
sxhvfq,0,2023-11-24 19:25:07,2023-12-04 20:23:45,255,0,50,man,3,1,3.0,2.0,10.0,63.0,,67.0,-1.0,1.0,0.0,,2,2,1,191,191,57.0,10.0,0.1492537313432835,0.3525781380748818,0.2550345906627951
dupoak,1,2023-11-24 19:35:10,2023-12-04 11:18:46,255,0,29,man,3,2,2.0,1.0,14.0,57.0,,57.0,0.0,0.0,2.0,2.0,0,1,1,193,193,55.0,3.0,0.0517241379310344,0.2144295531527439,0.1362213666958212
btlzow,1,2023-11-24 19:58:56,2023-12-02 10:41:01,255,0,60,vrouw,4,3,3.0,2.0,20.0,58.0,,60.0,1.0,0.0,2.0,,2,2,0,196,196,41.0,19.0,0.3166666666666666,0.228552000978173,0.1528229866460363
plkqbh,1,2023-11-24 20:00:38,2023-11-30 02:46:02,255,0,34,niet-binair/anders,3,3,2.0,1.0,22.0,55.0,,60.0,-2.0,0.0,0.0,54.0,3,2,2,197,197,50.0,5.0,0.0909090909090909,0.1484757320968316,0.1247709639341667
ghtvyg,1,2023-11-24 20:34:36,2024-01-07 11:08:10,1,0,51,man,3,3,,,22.0,30.0,,34.0,,,,9.0,2,3,2,201,201,30.0,4.0,0.1176470588235294,0.2371926493599259,0.1374018590825485
hmkrew,1,2023-11-24 20:58:13,2023-12-07 17:58:48,255,0,49,man,3,2,1.0,1.0,14.0,56.0,,57.0,-1.0,0.0,1.0,,1,1,-1,204,204,52.0,3.0,0.0545454545454545,0.2193616680598987,0.1789543559965524
